                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8379,                 5.3056,                 2.3071,                0.26616,                0.02273,                0.01113,                0.00398,                  3.004,                 5.3604,                 2.5179,                 0.0928,                 0.0008,                 0.0008
                      1,                 2.6635,                 4.6982,                 2.1967,                0.61224,                0.11364,                0.08823,                0.02991,                 2.6169,                 4.7081,                 2.1013,               0.084633,              0.0016327,              0.0016327
                      2,                 2.1194,                 3.0715,                 1.8299,                0.49893,                0.15909,                0.20447,                0.10404,                 2.0209,                  5.119,                 1.7175,               0.076394,              0.0023941,              0.0023941
                      3,                 1.6101,                 2.1643,                 1.5165,                0.42663,                    0.5,                0.42618,                0.25178,                 1.5016,                 3.7845,                 1.3512,               0.068084,              0.0030842,              0.0030842
                      4,                  1.322,                 1.7244,                  1.314,                0.59608,                 0.4982,                0.45355,                0.28226,                 1.4833,                 2.1723,                 1.3381,               0.059703,               0.003703,               0.003703
                      5,                 1.0996,                  1.412,                 1.1808,                0.75815,                0.48935,                0.64816,                0.46097,                 1.2113,                 1.6008,                 1.0978,               0.051251,              0.0042506,              0.0042506
                      6,                 0.9929,                 1.5595,                 1.1416,                0.69186,                0.59091,                0.66827,                0.49352,                0.94888,                 1.6442,                0.99987,               0.042727,              0.0047269,              0.0047269
                      7,                0.94712,                 1.2833,                 1.0718,                0.58871,                 0.6599,                0.59603,                0.44776,                 1.0087,                 1.5032,                 1.0432,               0.034132,              0.0051319,              0.0051319
                      8,                  0.897,                  1.178,                 1.0659,                0.72374,                0.70455,                0.76193,                0.52114,                0.88921,                 1.0466,                0.92029,               0.025466,              0.0054656,              0.0054656
                      9,                0.89511,                 1.0935,                 1.0061,                0.62293,                0.85127,                0.73991,                 0.5234,                0.93774,                 1.0987,                0.94172,               0.016728,               0.005728,               0.005728
                     10,                 0.9183,                  1.057,                 1.0274,                0.92389,                0.78859,                0.85972,                0.52661,                 1.0085,                 1.0095,                0.96813,              0.0079192,              0.0059192,              0.0059192
                     11,                0.86047,                 1.0011,                 1.0155,                0.79522,                0.83281,                0.87143,                0.61167,                0.84345,                0.93216,                0.94942,               0.005644,               0.005644,               0.005644
                     12,                0.84388,                0.99632,                0.98931,                0.81609,                0.79654,                0.81945,                0.53335,                0.95891,                 0.9542,                0.94945,               0.005644,               0.005644,               0.005644
                     13,                0.81485,                0.93448,                0.98451,                0.84828,                0.84091,                0.89563,                0.64649,                0.82342,                 0.8955,                0.93397,               0.005248,               0.005248,               0.005248
                     14,                0.80337,                0.82901,                0.97939,                0.84217,                0.77273,                0.84902,                0.57189,                 1.0336,                 0.9625,                 0.9496,               0.004852,               0.004852,               0.004852
                     15,                0.88589,                0.95288,                  0.989,                0.89539,                0.89019,                0.92981,                0.69328,                0.83583,                0.78738,                0.93935,               0.004456,               0.004456,               0.004456
                     16,                0.87493,                0.84505,                0.97421,                0.90664,                0.83625,                0.92958,                0.67996,                0.92447,                0.77294,                0.95487,                0.00406,                0.00406,                0.00406
                     17,                0.79774,                0.75637,                0.96958,                0.95424,                 0.9013,                0.97929,                0.75327,                 0.7996,                0.69712,                0.91778,               0.003664,               0.003664,               0.003664
                     18,                0.81002,                0.73403,                0.94452,                0.90862,                0.93105,                0.98005,                0.74336,                0.80553,                0.68095,                0.91072,               0.003268,               0.003268,               0.003268
                     19,                0.78543,                0.67364,                0.94516,                0.91066,                0.95032,                0.95179,                0.66852,                0.93032,                0.64485,                0.91617,               0.002872,               0.002872,               0.002872
                     20,                0.76654,                0.62769,                0.93397,                0.97034,                0.98518,                  0.995,                0.73805,                0.79952,                0.55051,                0.90712,               0.002476,               0.002476,               0.002476
                     21,                0.76024,                0.61991,                0.94137,                0.94613,                0.95455,                0.95092,                0.72551,                0.79706,                0.53364,                0.91289,                0.00208,                0.00208,                0.00208
                     22,                0.75204,                0.59854,                0.94179,                0.95609,                0.96382,                0.95484,                0.75262,                0.76447,                0.50269,                0.89927,               0.001684,               0.001684,               0.001684
                     23,                0.73259,                0.59869,                0.92921,                0.97065,                 0.9876,                  0.995,                0.75564,                0.76603,                0.47729,                0.91489,               0.001288,               0.001288,               0.001288
                     24,                0.70504,                0.57489,                0.92282,                0.96802,                0.99404,                  0.995,                0.78044,                0.73211,                0.47636,                0.90624,               0.000892,               0.000892,               0.000892
