                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8775,                 5.5462,                 2.2923,                   0.01,                0.01818,                0.00586,                0.00117,                 2.9025,                 6.2676,                 2.3729,                 0.0928,                 0.0008,                 0.0008
                      1,                   2.69,                 4.8678,                 2.1626,                0.01227,                0.05455,                0.00724,                0.00143,                 2.5514,                 5.0228,                 2.2442,               0.084633,              0.0016327,              0.0016327
                      2,                 2.0902,                 3.2252,                 1.7935,                0.67151,                0.09091,                0.09554,                0.02942,                 2.0298,                 7.3679,                  1.763,               0.076394,              0.0023941,              0.0023941
                      3,                 1.5499,                 2.1277,                  1.453,                0.60768,                0.44793,                0.46651,                0.27212,                 1.4584,                 5.0873,                 1.3411,               0.068084,              0.0030842,              0.0030842
                      4,                 1.2516,                  1.624,                 1.2392,                0.61817,                0.72463,                0.65145,                0.40022,                 1.2167,                 2.0678,                 1.1096,               0.059703,               0.003703,               0.003703
                      5,                 1.0804,                 1.3704,                 1.1297,                 0.6368,                0.61432,                0.61258,                0.36097,                 1.4892,                  1.658,                 1.2407,               0.051251,              0.0042506,              0.0042506
                      6,                0.97592,                 1.3229,                 1.0774,                0.62434,                0.46946,                0.58709,                0.31383,                  1.287,                 1.8967,                 1.2217,               0.042727,              0.0047269,              0.0047269
                      7,                0.97388,                 1.2248,                 1.0417,                0.64074,                0.77622,                0.73978,                0.45827,                0.95277,                 1.2335,                 0.9559,               0.034132,              0.0051319,              0.0051319
                      8,                0.92682,                 1.1281,                 1.0395,                0.58791,                0.90085,                0.73736,                0.43747,                0.94873,                 2.6065,                0.91588,               0.025466,              0.0054656,              0.0054656
                      9,                0.92307,                 1.1873,                 1.0232,                0.63595,                0.75409,                0.74121,                0.44542,                 1.0633,                 1.5062,                 1.0259,               0.016728,               0.005728,               0.005728
                     10,                0.87364,                 1.0923,                 1.0087,                0.71708,                0.65051,                0.75936,                0.43534,                 1.1952,                 1.6656,                 1.0102,              0.0079192,              0.0059192,              0.0059192
                     11,                0.88355,                 1.0415,                0.99997,                0.65729,                0.83957,                0.75351,                0.50567,                0.97771,                0.91394,                0.93815,               0.005644,               0.005644,               0.005644
                     12,                 0.8962,                0.98891,                0.98381,                0.82029,                0.75556,                0.79794,                0.50565,                 1.0115,                 1.0057,                0.96438,               0.005644,               0.005644,               0.005644
                     13,                0.85273,                0.91726,                0.98423,                0.74926,                0.80413,                0.73956,                0.47732,                 1.0006,                 1.0901,                0.95083,               0.005248,               0.005248,               0.005248
                     14,                0.83583,                0.83248,                0.98055,                0.75156,                 0.8286,                0.82885,                 0.5937,                0.93444,                0.86223,                0.93258,               0.004852,               0.004852,               0.004852
                     15,                0.93769,                0.98096,                 0.9985,                0.61755,                0.80826,                0.81654,                0.53408,                 1.0599,                0.91224,                0.98581,               0.004456,               0.004456,               0.004456
                     16,                0.87201,                0.85237,                0.95788,                0.84484,                0.79425,                0.90202,                0.61674,                 0.9964,                0.87317,                0.92878,                0.00406,                0.00406,                0.00406
                     17,                0.82042,                0.78959,                0.94348,                0.77841,                0.86067,                0.89815,                0.61497,                0.92126,                 0.7015,                0.90371,               0.003664,               0.003664,               0.003664
                     18,                0.82703,                0.75659,                0.95079,                 0.8466,                  0.923,                0.92583,                0.66837,                0.90932,                0.63761,                0.90523,               0.003268,               0.003268,               0.003268
                     19,                0.78201,                0.69943,                0.94143,                0.91848,                0.94476,                0.94267,                0.68624,                0.90912,                0.61248,                0.92101,               0.002872,               0.002872,               0.002872
                     20,                0.80178,                0.69011,                0.95157,                0.89578,                0.91763,                0.93245,                 0.7192,                0.79305,                0.57574,                0.90076,               0.002476,               0.002476,               0.002476
                     21,                0.75878,                0.66302,                0.93308,                0.88952,                 0.9566,                0.94109,                0.69465,                0.82002,                0.55754,                0.87872,                0.00208,                0.00208,                0.00208
                     22,                0.75155,                0.63254,                0.94091,                0.87928,                0.94222,                0.93091,                0.68648,                0.87733,                0.55629,                0.88563,               0.001684,               0.001684,               0.001684
                     23,                 0.7358,                0.60591,                0.91986,                0.92213,                      1,                 0.9745,                0.71071,                0.81365,                0.52069,                0.87618,               0.001288,               0.001288,               0.001288
                     24,                0.72374,                0.62286,                 0.9222,                0.89638,                0.98182,                0.94601,                0.70697,                0.80116,                 0.5215,                0.87941,               0.000892,               0.000892,               0.000892
